level_0,index,Unnamed: 0,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,sentiment,lengthContent,Language,scoreSA,topics
1310,1352.0,2019.0,5971,Jake Harris,https://play-lh.googleusercontent.com/a/ACg8ocLUNMZi6aaKQ4HdPJaCo5GPdcwyt5dGCMz5cN-DoJTJ=mo,When will this have a dark mode. Everything else I use does,3,0.0,26.23.4.100,2023-12-24 23:31:19,,,26.23.4.100,1,59,en,2,"['app', 'amazon', 'just', 'time', 'like', 'order', 'don', 'items', 'use', 'good', 'update', 'delivery', 'prime', 'orders', 'search', 'want', 'need', 'buy', 'day', 'really', 'phone', 'fix', 'things', 'shopping', 'way']"
15764,16323.0,23164.0,7007,Zingisa Ndzamela,https://play-lh.googleusercontent.com/a/ACg8ocKXHRhTB6MrIQ2q0QNfkURYdfazo5pTl4KDI6-btOGY=mo,Not so user friendly interface.,3,0.0,24.12.6.100,2022-07-12 17:04:41,,,24.12.6.100,1,31,en,2,"['app', 'amazon', 'just', 'time', 'like', 'order', 'don', 'items', 'use', 'good', 'update', 'delivery', 'prime', 'orders', 'search', 'want', 'need', 'buy', 'day', 'really', 'phone', 'fix', 'things', 'shopping', 'way']"
12670,13123.0,18716.0,6329,Richard L Youngll,https://play-lh.googleusercontent.com/a-/ALV-UjUXcHg-5Eu3aND0wIxH8PC72KL_WmqR9Ov7SmtSio6vM6w,Needs to be Moore user friendly. It's a completely different world than it need to be. Needs more work. B uh t it also has great potential. It needs to be smoother operating.,3,0.0,26.1.2.100,2023-01-28 10:05:30,,,26.1.2.100,1,174,en,2,"['app', 'amazon', 'just', 'like', 'don', 'time', 'update', 'orders', 'items', 'use', 'good', 'search', 'order', 'prime', 'delivery', 'fix', 'doesn', 'buy', 'want', 'need', 've', 'things', 'list', 'really', 'page']"
1233,,,20121,,,"i won't login my password, it says account suspended again, or can businesses make payments, then apply to unsuspend...",3,,,,,,,1,119,,2,"['app', 'amazon', 'just', 'time', 'like', 'order', 'don', 'items', 'use', 'good', 'update', 'delivery', 'prime', 'orders', 'search', 'want', 'need', 'buy', 'day', 'really', 'phone', 'fix', 'things', 'shopping', 'way']"
16712,17300.0,24744.0,10446,bree marshallhibs,https://play-lh.googleusercontent.com/a-/ALV-UjXobZWgm9NrqYxJOz9fWjvYIgRRfoMJs1E-p7gOc96DAlU,there been few times my order stuff and didn't receive it when said its been delivered and also order and didn't receive.,3,0.0,24.8.0.100,2022-05-16 01:20:03,,,24.8.0.100,1,121,en,2,"['app', 'amazon', 'just', 'time', 'like', 'order', 'don', 'items', 'use', 'good', 'update', 'delivery', 'prime', 'orders', 'search', 'want', 'need', 'buy', 'day', 'really', 'phone', 'fix', 'things', 'shopping', 'way']"
2004,,,320,,,app will record exactly what i shop for,3,,,,,,,1,39,,2,"['app', 'amazon', 'just', 'time', 'like', 'order', 'don', 'items', 'use', 'good', 'update', 'delivery', 'prime', 'orders', 'search', 'want', 'need', 'buy', 'day', 'really', 'phone', 'fix', 'things', 'shopping', 'way']"
2049,,,9042,,,4. 9 gb? for what. we cannot see since the hardware begins to take up so considerable space when i am pulled from memory. slim it up,3,,,,,,,1,132,,2,"['app', 'amazon', 'just', 'time', 'like', 'order', 'don', 'items', 'use', 'good', 'update', 'delivery', 'prime', 'orders', 'search', 'want', 'need', 'buy', 'day', 'really', 'phone', 'fix', 'things', 'shopping', 'way']"
3358,,,12605,,,with bad website to be better,3,,,,,,,1,29,,2,"['app', 'amazon', 'just', 'time', 'like', 'order', 'don', 'items', 'use', 'good', 'update', 'delivery', 'prime', 'orders', 'search', 'want', 'need', 'buy', 'day', 'really', 'phone', 'fix', 'things', 'shopping', 'way']"
2931,,,17570,,,"app i works poor, because it's currently freezing and raining.",3,,,,,,,1,62,,2,"['app', 'amazon', 'just', 'time', 'like', 'order', 'don', 'items', 'use', 'good', 'update', 'delivery', 'prime', 'orders', 'search', 'want', 'need', 'buy', 'day', 'really', 'phone', 'fix', 'things', 'shopping', 'way']"
3773,,,178,,,these outcomes have improved since all last six months. ty. please remove your technical questions from every app.,3,,,,,,,1,114,,2,"['app', 'amazon', 'just', 'time', 'like', 'order', 'don', 'items', 'use', 'good', 'update', 'delivery', 'prime', 'orders', 'search', 'want', 'need', 'buy', 'day', 'really', 'phone', 'fix', 'things', 'shopping', 'way']"
