level_0,index,Time_submitted,content,Rating,Total_thumbsup,Reply,sentiment,lengthContent,Language,reviewId,topics
13220,14438,2022-06-06 01:35:05,Malfunctions all the time. 1) have to force stop all the time since pause button disappears 2) sometimes just stops altogether 3) sometimes stops mid podcast and starts an entirely different one Awesome stuff. Fix it maybe?,1,0,,0,223,en,13117,"['app', 'songs', 'spotify', 'song', 'play', 'music', 'premium', 'just', 'listen', 'playing', 'playlist', 'want', 'like', 'don', 'phone', 'use', 'update', 'doesn', 've', 'stop', 'fix', 'time', 'work', 'ads', 'account']"
15637,16997,2022-05-29 18:47:48,Whith new update non of songs playing it keep crashing,1,2,,0,54,en,15516,"['app', 'spotify', 'music', 'songs', 'play', 'song', 'just', 'time', 'playing', 'premium', 'playlist', 'update', 'fix', 'like', 'listen', 'use', 'don', 'doesn', 'ads', 'want', 'stop', 'good', 'phone', 'podcasts', 'really']"
30883,33120,2022-04-18 16:16:44,"Huge fan of Spotify. Current version is absolutely unusable. I can't see what is currently playing if I leave the app and come back, so I keep having to close the app to stop and start my music. Happens for music and podcasts. This is especially annoying in the car. The car mode doesn't help at all. I have to pull over to fix it. This is really annoying when I'm reading or doing something else. I can't pause it without closing it all out and then I have to load everything up again to start again",1,336,,0,500,en,30667,"['app', 'spotify', 'music', 'songs', 'play', 'song', 'just', 'time', 'playing', 'premium', 'playlist', 'update', 'fix', 'like', 'listen', 'use', 'don', 'doesn', 'ads', 'want', 'stop', 'good', 'phone', 'podcasts', 'really']"
34600,36899,2022-04-13 10:51:21,"App has been acting up lately, intermittently pauses music when on wifi, bugs out and crashes when using Android auto. Having to restart the app several times a day to get playback to work correctly. Tried a fresh reinstall with no success. Fix your stuff, Spotify.",1,0,,0,265,en,34375,"['app', 'spotify', 'music', 'songs', 'play', 'song', 'just', 'time', 'playing', 'premium', 'playlist', 'update', 'fix', 'like', 'listen', 'use', 'don', 'doesn', 'ads', 'want', 'stop', 'good', 'phone', 'podcasts', 'really']"
39589,41895,2022-03-27 00:42:46,"You made me sit through 7 ads to hear 1 song, but wait you wouldn't even let me listen to it after all that!!!! Just a bunch of recommended stuff in the first 6 songs and no more than 6 skips in free mode? xD this app is a joke, right? Awful. I would give this 0 stars if I could. Your free version is just a worse version of YouTube. Fail",1,1,,0,339,en,39356,"['app', 'spotify', 'music', 'songs', 'play', 'song', 'just', 'time', 'playing', 'premium', 'playlist', 'update', 'fix', 'like', 'listen', 'use', 'don', 'doesn', 'ads', 'want', 'stop', 'good', 'phone', 'podcasts', 'really']"
29091,31265,2022-04-21 09:12:42,If it worked it wouldn't be bad but increasingly worse UI and now the app not working is making me cancel my premium,2,0,,0,116,en,28882,"['app', 'songs', 'spotify', 'song', 'play', 'music', 'premium', 'just', 'listen', 'playing', 'playlist', 'want', 'like', 'don', 'phone', 'use', 'update', 'doesn', 've', 'stop', 'fix', 'time', 'work', 'ads', 'account']"
44870,47181,2022-03-08 18:22:19,"Thanks for ads every ten minutes, just get anything else and it would be better.",1,0,,0,80,en,44624,"['app', 'spotify', 'music', 'songs', 'play', 'song', 'just', 'time', 'playing', 'premium', 'playlist', 'update', 'fix', 'like', 'listen', 'use', 'don', 'doesn', 'ads', 'want', 'stop', 'good', 'phone', 'podcasts', 'really']"
21486,23246,2022-05-11 13:27:05,"Downloaded music disappears randomly. Please fix this! You can have all of your favorite music downloaded... then it's gone. I'm often in places with no wifi or cell reception, so I don't have music. I pay every month but have to download the tunes over and over. And it's more frequent now! I've tried Spotifys recommendations which still do not help. They simply need to fix the issue. I'm looking at different options now because of this.",2,207,,0,441,en,21340,"['app', 'songs', 'spotify', 'song', 'play', 'music', 'premium', 'just', 'listen', 'playing', 'playlist', 'want', 'like', 'don', 'phone', 'use', 'update', 'doesn', 've', 'stop', 'fix', 'time', 'work', 'ads', 'account']"
36709,39010,2022-04-10 01:00:32,I can't listen to my music how do you change the song why does it change the song every time i click on the songs.,1,1,,0,114,en,36481,"['song fix', 'random song fix', 'song does', 'change song', 'sucks played song', 'hate star', 'hate tap', 'hate star select', 'hate tap favorite', 'sucks played', 'hear forevet', 'hear forevet song', 'song fix want', 'won let just', 'hear random song', 'just moved', 'just moved song', 'let just moved', 'star select song', 'star select', 'listen music change', 'spotify spotify broken', 'makes random song', 'spotify broken play', 'moved song']"
42331,44639,2022-03-15 17:41:44,"Spotify was innovative when it launched. Unfortunately, the current feature set lags behind and they don't integrate long-awaited features. For example, I can't sort my playlists alphabetically. Since I have about 150 playlists, I have to read through the whole list of playlists to do something as basic as adding a song. Not a 21st century app.",2,35,,0,346,en,42090,"['app', 'songs', 'spotify', 'song', 'play', 'music', 'premium', 'just', 'listen', 'playing', 'playlist', 'want', 'like', 'don', 'phone', 'use', 'update', 'doesn', 've', 'stop', 'fix', 'time', 'work', 'ads', 'account']"
30730,32963,2022-04-18 23:11:53,No longer shows widget on lock screen,1,0,,0,37,en,30515,"['app', 'spotify', 'music', 'songs', 'play', 'song', 'just', 'time', 'playing', 'premium', 'playlist', 'update', 'fix', 'like', 'listen', 'use', 'don', 'doesn', 'ads', 'want', 'stop', 'good', 'phone', 'podcasts', 'really']"
27680,29797,2022-04-24 07:25:14,"Spotify plays whatever they want to play not what you select. I like the ability to create playlists, but the selection process is a problem.",2,0,,0,141,en,27482,"['app', 'spotify', 'music', 'songs', 'play', 'song', 'just', 'time', 'playing', 'premium', 'playlist', 'update', 'fix', 'like', 'listen', 'use', 'don', 'doesn', 'ads', 'want', 'stop', 'good', 'phone', 'podcasts', 'really']"
22639,24481,2022-05-08 00:27:06,With the new update I've noticed that my crossfade isn't working anymore. The option to crossfade is disabled. Is this now a premium thing?,2,1,,0,139,en,22484,"['app', 'spotify', 'music', 'songs', 'play', 'song', 'just', 'time', 'playing', 'premium', 'playlist', 'update', 'fix', 'like', 'listen', 'use', 'don', 'doesn', 'ads', 'want', 'stop', 'good', 'phone', 'podcasts', 'really']"
15233,16565,2022-05-30 20:43:51,"Currently app is completely broken, playlists are all empty",1,0,,0,59,en,15116,"['completely broken', 'like ipad', 'having reset device', 'home devices', 'home devices completely', 'having reset', 'integration google home', 'ipad', 'ipad app', 'ipad app crashing', 'issue week', 'issue week app', 'like integration', 'integration google', 'like integration google', 'like ipad app', 'music starting fail', 'lot update play', 'narrow recent', 'narrow recent update', 'new update phones', 'narrow', 'ok recently', 'google home devices', 'pauses like']"
29595,31784,2022-04-20 18:09:42,"Everytime I first open the app within a 30 minutes window and I play a song, the controller at the bottom doesn't show up. Forces me to close the app and reopen it every single time to troubleshoot. Please fix it.",1,1,,0,213,en,29384,"['app', 'spotify', 'music', 'songs', 'play', 'song', 'just', 'time', 'playing', 'premium', 'playlist', 'update', 'fix', 'like', 'listen', 'use', 'don', 'doesn', 'ads', 'want', 'stop', 'good', 'phone', 'podcasts', 'really']"
51502,53821,2022-02-09 07:06:32,"This is okay, but the constant ads every 3 songs completely ruins ur vibe u had from the previous song. At times the ads become so annoying that I just go to YouTube anyways",1,1,,0,173,en,51245,"['app', 'songs', 'spotify', 'song', 'play', 'music', 'premium', 'just', 'listen', 'playing', 'playlist', 'want', 'like', 'don', 'phone', 'use', 'update', 'doesn', 've', 'stop', 'fix', 'time', 'work', 'ads', 'account']"
17821,19334,2022-05-23 04:38:52,They make it incredibly hard to cancel. I had to go through the process twice. I thought I had already cancelled but no they have charged me for another month. I had planed on re- subscribing in the future but after this experience I will never use Spotify again.,1,0,,0,263,en,17695,"['app', 'songs', 'spotify', 'song', 'play', 'music', 'premium', 'just', 'listen', 'playing', 'playlist', 'want', 'like', 'don', 'phone', 'use', 'update', 'doesn', 've', 'stop', 'fix', 'time', 'work', 'ads', 'account']"
33184,35480,2022-04-14 18:34:31,Latest version has a lot of bugs. Too often I cant see what is currently playing and need to restart app. Please fix it.,2,3,,0,120,en,32961,"['app', 'spotify', 'music', 'songs', 'play', 'song', 'just', 'time', 'playing', 'premium', 'playlist', 'update', 'fix', 'like', 'listen', 'use', 'don', 'doesn', 'ads', 'want', 'stop', 'good', 'phone', 'podcasts', 'really']"
55442,57763,2022-01-27 23:53:33,Spotify provides a platform for anti-vaccination campaigners and misinformation podcasts by conspiracy theorists. I have deleted the app from all my devices.,1,6,,0,157,en,55179,"['app', 'songs', 'spotify', 'song', 'play', 'music', 'premium', 'just', 'listen', 'playing', 'playlist', 'want', 'like', 'don', 'phone', 'use', 'update', 'doesn', 've', 'stop', 'fix', 'time', 'work', 'ads', 'account']"
46307,48619,2022-03-02 06:39:56,"Who does Spotify say that I'm not connected to the internet even when I am? I'm forced to open and close the app multiple times until I can search a song. Edit: Yes it's still the same even after restarting my phone, changing my internet connection and even updating the app.",2,15,"Hey! Do you experience the same thing when trying to use the app on a different connection? We’d recommend trying another WiFi connection or through 3/4G. Also, we’d recommend restarting your device and see if that makes any difference. If that doesn’t help, you can reach out to our support team at https://bit.ly/2zhNwyX.",0,275,en,46058,"['app', 'songs', 'spotify', 'song', 'play', 'music', 'premium', 'just', 'listen', 'playing', 'playlist', 'want', 'like', 'don', 'phone', 'use', 'update', 'doesn', 've', 'stop', 'fix', 'time', 'work', 'ads', 'account']"
36696,38997,2022-04-10 02:47:06,I downloaded the ue hyperboom app. The Spotify app doesn't work well with this. I can't see what track is playing. I can't pause. I can't see which track is next. Something got messed up with ue hyperboom connectability. Suuuuuucks,2,0,,0,231,en,36468,"['app', 'songs', 'spotify', 'song', 'play', 'music', 'premium', 'just', 'listen', 'playing', 'playlist', 'want', 'like', 'don', 'phone', 'use', 'update', 'doesn', 've', 'stop', 'fix', 'time', 'work', 'ads', 'account']"
46830,49143,2022-02-27 22:39:01,This is a bad app if your trying to log in on your playstation I been sitting here for 30 minutes with rights email and everything and it says it wrong would not recommend for playstation,1,0,,0,187,en,46581,"['app', 'spotify', 'music', 'songs', 'play', 'song', 'just', 'time', 'playing', 'premium', 'playlist', 'update', 'fix', 'like', 'listen', 'use', 'don', 'doesn', 'ads', 'want', 'stop', 'good', 'phone', 'podcasts', 'really']"
28799,30966,2022-04-21 18:42:18,"Crashing constantly since the last update. I've been a premium subscriber for about a decade now, and this is the most unstable update I've seen. Please be so kind as to fix this soon. Maybe even today?",1,1,,0,202,en,28591,"['app', 'songs', 'spotify', 'song', 'play', 'music', 'premium', 'just', 'listen', 'playing', 'playlist', 'want', 'like', 'don', 'phone', 'use', 'update', 'doesn', 've', 'stop', 'fix', 'time', 'work', 'ads', 'account']"
37791,40093,2022-04-04 20:55:29,"I started using it mostly for podcasts and it is a sub-par experience, bordering on frustrating. It is missing basic features like showing the count of un-played episodes in each podcast, persistent setting to show only un-played episodes (which should include the in-progress ones). Also, at the end of an episode, sometimes it just randomly jumps to an episode which is already marked as played instead of picking the next un-played one or just stopping.",2,5,,0,456,en,37562,"['app', 'songs', 'spotify', 'song', 'play', 'music', 'premium', 'just', 'listen', 'playing', 'playlist', 'want', 'like', 'don', 'phone', 'use', 'update', 'doesn', 've', 'stop', 'fix', 'time', 'work', 'ads', 'account']"
55765,58087,2022-01-27 03:08:45,Deleted App. I refuse to have a App on any of my devices that promotes Podcasts that purposely broadcasts lies about the Covid-19 Vaccine at the cost of human lives. You have chosen lies over truth and death over life. So long..spotilies.,1,10,,0,238,en,55502,"['lies', 'lies truth death', 'prevent scrap premium', 'prevent scrap', 'premium membership continues', 'promotes podcasts', 'podcasts purposely broadcasts', 'podcasts purposely', 'mob support free', 'mob support', 'membership continues disappointed', 'membership continues', 'long spotilies spotify', 'long spotilies', 'lives chosen lies', 'promotes podcasts purposely', 'human lives chosen', 'listening jre initially', 'initially joined', 'initially joined spotify', 'joined spotify discluded', 'jre initially', 'jre initially joined', 'lives chosen', 'lives']"
57014,59336,2022-01-22 11:37:34,"this app is so very annoying and i don’t really like the new update of the app. we want the old one were we can listen all the musics we want just for free and not building a choice wherein, you have no choice but to buy premium. THE CREATORS ARE TOO GREEDY! This app sucks, bring back the old Spotify we knew before.",1,1,,0,317,en,56749,"['app', 'spotify', 'music', 'songs', 'play', 'song', 'just', 'time', 'playing', 'premium', 'playlist', 'update', 'fix', 'like', 'listen', 'use', 'don', 'doesn', 'ads', 'want', 'stop', 'good', 'phone', 'podcasts', 'really']"
30520,32737,2022-04-19 10:52:44,Latest improvements are full of bugs. #annoying,1,0,,0,47,en,30308,"['giving access currently', 'track continually crashing', 'track continually', 'showing giving access', 'showing giving', 'playing track continually', 'newest update isn', 'latest improvements bugs', 'latest improvements', 'isn showing giving', 'improvements bugs annoying', 'improvements bugs', 'update isn', 'giving access', 'crashing completely bugged', 'crashing completely', 'continually crashing completely', 'update isn showing', 'continually crashing', 'access currently', 'access currently playing', 'annoying newest', 'annoying newest update', 'bugs annoying', 'bugs annoying newest']"
17054,18507,2022-05-25 16:29:24,"Randomly skips podcasts halfway through listening to one. I've looked online and this issue has been raised multiple times for years and the only thing the developers say is they can't recreate the problem, which is just insanely lazy becaus it happens to everyone.",1,0,,0,265,en,16930,"['app', 'spotify', 'music', 'songs', 'play', 'song', 'just', 'time', 'playing', 'premium', 'playlist', 'update', 'fix', 'like', 'listen', 'use', 'don', 'doesn', 'ads', 'want', 'stop', 'good', 'phone', 'podcasts', 'really']"
38910,41215,2022-03-30 15:26:27,"terrible things not workibg, no way to contact anybody. the messages BOT sucks, person responds like once in an hour. i dont think i have ever experienced such TERRIBLE SERVICE EVER",1,3,,0,181,en,38678,"['app', 'spotify', 'music', 'songs', 'play', 'song', 'just', 'time', 'playing', 'premium', 'playlist', 'update', 'fix', 'like', 'listen', 'use', 'don', 'doesn', 'ads', 'want', 'stop', 'good', 'phone', 'podcasts', 'really']"
43303,45614,2022-03-11 01:44:08,It keeps pausing and I have to keep doing it to play the music but overall the music is good,2,1,,0,92,en,43059,"['app', 'spotify', 'music', 'songs', 'play', 'song', 'just', 'time', 'playing', 'premium', 'playlist', 'update', 'fix', 'like', 'listen', 'use', 'don', 'doesn', 'ads', 'want', 'stop', 'good', 'phone', 'podcasts', 'really']"
57783,60105,2022-01-18 16:40:34,"Very bad experience. if you listen most of time on sortify then you will have an add, after every song .",1,0,,0,104,en,57516,"['app', 'songs', 'spotify', 'song', 'play', 'music', 'premium', 'just', 'listen', 'playing', 'playlist', 'want', 'like', 'don', 'phone', 'use', 'update', 'doesn', 've', 'stop', 'fix', 'time', 'work', 'ads', 'account']"
34400,36699,2022-04-13 15:10:32,"Having the same issue as many others now where the music bar at the bottom disappears, you can't control what plays, the music stops if the phone isn't active, and the app needs to be restarted multiple times a day.",1,0,,0,215,en,34175,"['app', 'spotify', 'music', 'songs', 'play', 'song', 'just', 'time', 'playing', 'premium', 'playlist', 'update', 'fix', 'like', 'listen', 'use', 'don', 'doesn', 'ads', 'want', 'stop', 'good', 'phone', 'podcasts', 'really']"
5213,5741,2022-06-27 00:26:50,"Having been on spotify for as long as it's been available in my country, I find its current state discouraging. Premium plans are very expensive when you're likely also using up your mobile data (yes, download is a thing - but what of music recommendations? what of phone storage?), but the ads on the free plan are unbearable. In the past, you would get a 30s ad for 30m of music. Now, you get five 20s ads, two songs, rinse, repeat. It's ridiculous. Unusable if not for bandom/k-pop goal purposes.",1,0,,0,499,en,5170,"['app', 'spotify', 'music', 'songs', 'play', 'song', 'just', 'time', 'playing', 'premium', 'playlist', 'update', 'fix', 'like', 'listen', 'use', 'don', 'doesn', 'ads', 'want', 'stop', 'good', 'phone', 'podcasts', 'really']"
8108,8916,2022-06-19 19:24:26,"Bad at sticking to a soundtrack, keeps splicing other music in or just going off on tangents. Interface is to simplified, can't tell if I've got a setting wrong, but it should be the most straightforward thing to play the songs contained within a single soundtrack so there shouldn't be room for user error here.",1,0,,0,312,en,8042,"['app', 'spotify', 'music', 'songs', 'play', 'song', 'just', 'time', 'playing', 'premium', 'playlist', 'update', 'fix', 'like', 'listen', 'use', 'don', 'doesn', 'ads', 'want', 'stop', 'good', 'phone', 'podcasts', 'really']"
44058,46369,2022-03-08 19:06:38,"Was great until last updated, it keeps logging me out and I have to re download all of my misic",1,0,,0,95,en,43813,"['login', 'password', 'error', 'link', 'email', 'says', 'expired', 'log', 'app login', 'logging', 'reset password', 'signed', 'try login', 'logged won', 'won let', 'logged', 'log app', 'won', 'sent', 'throws error', 'worst app login', 'won let login', 'login email', 'password app', 'login link']"
7197,7930,2022-06-22 00:21:07,Hate the fact that i need premium to get to the songs that i want to get to why cant it be like on pc where i can select any song from my playlist i would apreciate it if you would do the same here,2,0,,0,197,en,7139,"['app', 'songs', 'spotify', 'song', 'play', 'music', 'premium', 'just', 'listen', 'playing', 'playlist', 'want', 'like', 'don', 'phone', 'use', 'update', 'doesn', 've', 'stop', 'fix', 'time', 'work', 'ads', 'account']"
48256,50571,2022-02-21 22:21:37,It skips out or doesn't play the next song and the name of the next song doesn't come up if it okayd and the app closes randomly. I like listening to the music but the app quality is kinda terrible,2,1,,0,197,en,48004,"['app', 'songs', 'spotify', 'song', 'play', 'music', 'premium', 'just', 'listen', 'playing', 'playlist', 'want', 'like', 'don', 'phone', 'use', 'update', 'doesn', 've', 'stop', 'fix', 'time', 'work', 'ads', 'account']"
18642,20212,2022-05-20 09:52:36,"I downloaded this 5 years ago and it was a total disappointment. Decided to give it a shot now, and I can't believe it is the same. This is why I rather listen to my music on YouTube than here. I can't skip songs. I'm forced to listen a new album on shuffle AND with artists that I DON'T LIKE AND DON'T LISTEN TO. And no. I won't be paying Premium to a company with such a lousy free version of their mobile app. I refuse. Deleting it now.",1,2,,0,439,en,18511,"['app', 'songs', 'spotify', 'song', 'play', 'music', 'premium', 'just', 'listen', 'playing', 'playlist', 'want', 'like', 'don', 'phone', 'use', 'update', 'doesn', 've', 'stop', 'fix', 'time', 'work', 'ads', 'account']"
51827,54146,2022-02-08 05:26:30,"30 minutes uninterrupted? I got Spotify+ so I have to sit through ads eventually, but whenever I got those ""watch this ads for 30 minutes of uninterrupted listening,"" another one of them will pop in about 10 minutes(or less)",2,0,,0,224,en,51570,"['app', 'songs', 'spotify', 'song', 'play', 'music', 'premium', 'just', 'listen', 'playing', 'playlist', 'want', 'like', 'don', 'phone', 'use', 'update', 'doesn', 've', 'stop', 'fix', 'time', 'work', 'ads', 'account']"
15883,17256,2022-05-29 04:44:14,It's very annoying to hear ads every minute after every song.,2,0,,0,61,en,15762,"['play ll tap', 'll tap', 'll tap song', 'minute song right', 'money turn', 'money turn phone', 'phone music just', 'play ll', 'play song starts', 'playing absolutely', 'playing absolutely despise', 'randomly stopping infuriating', 'right song won', 'just ve tried', 'song right song', 'just stops don', 'starts playing absolutely', 'won play ll', 've tried music', 'tried music randomly', 'tried music', 'song right', 'sudden loop songs', 'songs anymore button', 'stops don like']"
20162,21833,2022-05-15 18:28:36,"The app doesn't show buttons, including play, nexr, previous, settings, the touch target is there but the button isn't, maybe it's related to my phone model but I like this thing fixed or clarified please!",1,0,,0,205,en,20023,"['app', 'spotify', 'music', 'songs', 'play', 'song', 'just', 'time', 'playing', 'premium', 'playlist', 'update', 'fix', 'like', 'listen', 'use', 'don', 'doesn', 'ads', 'want', 'stop', 'good', 'phone', 'podcasts', 'really']"
34344,36643,2022-04-13 16:07:40,App was working fine until a few days ago. Now it wont show the music play controls. Have to constantly restart the app to get it to work properly. Yall need to fix this asap.,1,1,,0,175,en,34119,"['app', 'songs', 'spotify', 'song', 'play', 'music', 'premium', 'just', 'listen', 'playing', 'playlist', 'want', 'like', 'don', 'phone', 'use', 'update', 'doesn', 've', 'stop', 'fix', 'time', 'work', 'ads', 'account']"
396,436,2022-07-08 15:27:59,Such a rubbish app lots of advertisements i m going to uninstall this app ..,1,0,,0,76,en,394,"['app', 'spotify', 'music', 'songs', 'play', 'song', 'just', 'time', 'playing', 'premium', 'playlist', 'update', 'fix', 'like', 'listen', 'use', 'don', 'doesn', 'ads', 'want', 'stop', 'good', 'phone', 'podcasts', 'really']"
35490,37790,2022-04-12 12:36:24,This app keeps on glitching and pauses my music when my screen turns off. Then it comes back on and pauses again. ever since the latest update I've been having so many problems!!! What did you guys do to this app!!!??? I am about to cancel my premium subscription if this continues,1,2,,0,281,en,35263,"['app', 'songs', 'spotify', 'song', 'play', 'music', 'premium', 'just', 'listen', 'playing', 'playlist', 'want', 'like', 'don', 'phone', 'use', 'update', 'doesn', 've', 'stop', 'fix', 'time', 'work', 'ads', 'account']"
21248,22997,2022-05-12 09:20:44,Second update - this app gets NO better. Still super buggy. The worst app I've ever dealt with. Have to re-install almost every month to make it work. Using s22 ultra. UPDATE - This app only gets worse. Now on a premium subscription I'm getting ads on Joe Rogan. Such a poor move. I'm so annoyed that rogan moved to this app. It's so buggy freezes. Stops playing randomly. Continues playing on the speaker when disconnected from bluetooth. Used to paused all the time. How is this app so popular,1,4,,0,495,en,21102,"['app', 'spotify', 'music', 'songs', 'play', 'song', 'just', 'time', 'playing', 'premium', 'playlist', 'update', 'fix', 'like', 'listen', 'use', 'don', 'doesn', 'ads', 'want', 'stop', 'good', 'phone', 'podcasts', 'really']"
17454,18940,2022-05-24 09:48:59,It's not that bad it has all my songs but I hate the new updates I can't scroll through my playlist again and if I can it's to hard to find,2,0,,0,139,en,17328,"['app', 'songs', 'spotify', 'song', 'play', 'music', 'premium', 'just', 'listen', 'playing', 'playlist', 'want', 'like', 'don', 'phone', 'use', 'update', 'doesn', 've', 'stop', 'fix', 'time', 'work', 'ads', 'account']"
56032,58354,2022-01-26 05:39:32,Spotify will start playing automatically when bluetooth devices are connected. Nothing has been done about this despite going on for years now. Managing podcasts is terrible. The user experience is awful and it's getting worse the more podcasts are exclusive so there are more pods to manage.,1,4,,0,292,en,55769,"['app', 'spotify', 'music', 'songs', 'play', 'song', 'just', 'time', 'playing', 'premium', 'playlist', 'update', 'fix', 'like', 'listen', 'use', 'don', 'doesn', 'ads', 'want', 'stop', 'good', 'phone', 'podcasts', 'really']"
