level_0,index,Time_submitted,content,score,Total_thumbsup,Reply,sentiment,lengthContent,Language,scoreSA,reviewId,topics
51812,52074,2022-02-07 10:11:13,The songs gets crack when the mobile gets off. Please fix this,1,0,,0,62,en,0,7318,"['music', 'app', 'spotify', 'songs', 'song', 'just', 'play', 'listen', 'premium', 'update', 'like', 'want', 'don', 'ads', 'playing', 'fix', 'use', 'playlist', 'phone', 'good', 'time', 'pay', 'new', 'won', 'doesn']"
23185,23354,2022-05-06 01:42:00,"Convenient, however extremely buggy, especially in offline mode. Beware, it will suddenly erases all your downloads, prevent you from adjusting playlists because it complains of being in offline mode, or only show a black screen. I only use it because I work in remote areas and the offline mode works better than other apps(but let me be clear, it's still terrible, and these bugs have been present for YEARS). Do not recommend!!",1,45,,0,430,en,0,12787,"['app', 'songs', 'just', 'song', 'account', 'playing', 'spotify', 'listen', 'play', 'premium', 've', 'music', 'don', 'playlist', 'phone', 'like', 'doesn', 'time', 'update', 'want', 'fix', 'stop', 'tried', 'use', 'paying']"
44083,44336,2022-03-08 18:50:17,"Something is very wrong. Kicked me out of my account and now won't let me log back in, create a new account or even let me log in without a password. I'm very confused as I've never had issues before and practically live on my playlists.",1,3,,0,237,en,0,11609,"['app', 'songs', 'just', 'song', 'account', 'playing', 'spotify', 'listen', 'play', 'premium', 've', 'music', 'don', 'playlist', 'phone', 'like', 'doesn', 'time', 'update', 'want', 'fix', 'stop', 'tried', 'use', 'paying']"
14403,14522,2022-06-02 00:23:46,"Worst player ever. Does not play the song I need, always plays something else. Not talking about the adds. It was not like that previously when i was using it a year ago. Decided to use it again, but deleting the app after 1 day of use. Spotify goes to the rubbish bin!",1,0,,0,269,en,0,21699,"['app', 'songs', 'just', 'song', 'account', 'playing', 'spotify', 'listen', 'play', 'premium', 've', 'music', 'don', 'playlist', 'phone', 'like', 'doesn', 'time', 'update', 'want', 'fix', 'stop', 'tried', 'use', 'paying']"
2876,2894,2022-07-02 15:36:45,"Seems to use up a lot of processing, cause audio to cut out when using Bluetooth earbuds. Other music players work fine.",1,0,,0,120,en,0,14022,"['lacklustre', 'podcasts sure friendly', 'players work fine', 'players work', 'play entire song', 'paying audio quality', 'paying audio', 'organize library forget', 'organize library', 'music players work', 'music doesn connect', 'lot processing cause', 'lot processing', 'library forget using', 'podcasts worth paying', 'lacklustre settings changed', 'fine clunky especially', 'issues ios version', 'forget using', 'forget using podcasts', 'friendly clicks', 'friendly clicks hard', 'froze idrive', 'library forget', 'lacklustre settings']"
16183,16313,2022-05-28 00:29:02,"I like this app because of the HUGE variety of songs I can download. The problem I have is that if I pause it for too long, it disappears from my notification bar so I have to enter the app to make it play again. I have a LG Stylo 5. Both the phone software and app are up to date. With the update today (5/27/22) the widget no longer works. The widget is greyed out with the message ""problem loading widget"".",1,19,,0,409,en,0,24671,"['app', 'songs', 'just', 'song', 'account', 'playing', 'spotify', 'listen', 'play', 'premium', 've', 'music', 'don', 'playlist', 'phone', 'like', 'doesn', 'time', 'update', 'want', 'fix', 'stop', 'tried', 'use', 'paying']"
14493,14614,2022-06-01 17:27:40,"Stutters on Bluetooth. No way to fix after reinstalling app, factory reset for Bluetooth headphones, etc. Other music apps don't have this issue. No way to connect with customer support despite paying for premium.",1,0,,0,213,en,0,20720,"['pioneer kenwood', 'kenwood', 'pioneer', 'ice', 'headphones music apps', 'headphones music', 'issue spotify connect', 'issue way', 'issue way connect', 'jvc devices', 'jvc devices new', 'kenwood jvc', 'ice pioneer', 'ice pioneer kenwood', 'kenwood vehicle', 'kenwood jvc devices', 'makes spotify unusable', 'kenwood vehicle head', 'paying premium base', 'pioneer kenwood jvc', 'pioneer kenwood vehicle', 'fix reinstalling app', 'premium base barely', 'fix reinstalling', 'regression issue']"
35237,35473,2022-04-12 13:04:35,Not sure why my songs are undownloading or why I can't see what is currently playing and control it. Wish I could give zero stars.,1,1,,0,130,en,0,13960,"['app', 'songs', 'just', 'song', 'account', 'playing', 'spotify', 'listen', 'play', 'premium', 've', 'music', 'don', 'playlist', 'phone', 'like', 'doesn', 'time', 'update', 'want', 'fix', 'stop', 'tried', 'use', 'paying']"
13906,14022,2022-06-03 15:34:31,"I wanted to cancel my spotify premium, but it does not allow.",1,0,,0,61,en,0,986,"['app', 'songs', 'just', 'song', 'account', 'playing', 'spotify', 'listen', 'play', 'premium', 've', 'music', 'don', 'playlist', 'phone', 'like', 'doesn', 'time', 'update', 'want', 'fix', 'stop', 'tried', 'use', 'paying']"
29115,29334,2022-04-21 00:43:29,Clunky especially with podcasts.,1,0,,0,32,en,0,15734,"['lacklustre', 'podcasts sure friendly', 'players work fine', 'players work', 'play entire song', 'paying audio quality', 'paying audio', 'organize library forget', 'organize library', 'music players work', 'music doesn connect', 'lot processing cause', 'lot processing', 'library forget using', 'podcasts worth paying', 'lacklustre settings changed', 'fine clunky especially', 'issues ios version', 'forget using', 'forget using podcasts', 'friendly clicks', 'friendly clicks hard', 'froze idrive', 'library forget', 'lacklustre settings']"
34984,35220,2022-04-12 18:31:11,The app keeps losing connection so it can't skip or stop songs,1,1,,0,62,en,0,2388,"['music', 'app', 'spotify', 'songs', 'song', 'just', 'play', 'listen', 'premium', 'update', 'like', 'want', 'don', 'ads', 'playing', 'fix', 'use', 'playlist', 'phone', 'good', 'time', 'pay', 'new', 'won', 'doesn']"
17730,17864,2022-05-23 00:09:46,"The music choices are great, but look. Spotify took money out of my bank account to pay for premium, which is fine by me it means less time messing around. But they took money, and didn't give me my premium. My app is not working, none of my music is showing up and despite me constantly having WiFi it doesn't recognize my connection.",1,0,,0,335,en,0,3569,"['app', 'songs', 'just', 'song', 'account', 'playing', 'spotify', 'listen', 'play', 'premium', 've', 'music', 'don', 'playlist', 'phone', 'like', 'doesn', 'time', 'update', 'want', 'fix', 'stop', 'tried', 'use', 'paying']"
15989,16118,2022-05-28 13:48:41,"Hi Spotify. After many years with you, I am switching over to SoundCloud. Your system is junk, in my opinion. I have heard that very little of my payments actually goes to the Artists who did all the work.Also, your random SUCKS!! I plays the same 20 songs from the same 3 artists over and over. Not matter what I delete, download or skip It goes back to the same songs over and over. Usually it's the ""intro"" or ""little ditty"" or the least desirable song on the album. Yet million to choose from BYE",1,16,,0,500,en,0,15855,"['music', 'app', 'spotify', 'songs', 'song', 'just', 'play', 'listen', 'premium', 'update', 'like', 'want', 'don', 'ads', 'playing', 'fix', 'use', 'playlist', 'phone', 'good', 'time', 'pay', 'new', 'won', 'doesn']"
57077,57349,2022-01-21 03:44:54,"The latest update has ruined this app. No longer user friendly, non sensical options yet missing very basic features. No longer has car view and the ""car thing"" they are launching is only available in the US. Each update this app gets worse and worse.",1,8,,0,251,en,0,9160,"['music', 'app', 'spotify', 'songs', 'song', 'just', 'play', 'listen', 'premium', 'update', 'like', 'want', 'don', 'ads', 'playing', 'fix', 'use', 'playlist', 'phone', 'good', 'time', 'pay', 'new', 'won', 'doesn']"
48784,49040,2022-02-18 18:47:37,"NOT LOADING OR NOT PLAYING ANYTHING AS OF 8 HOURS AGO!! Very upset, used daily AND I paid $9.99 for premium!!! Irritated and want my music back. Will be contacting support asap, if fixed and am satisfied with customer support I will rate 5 stars and update review",1,3,,0,263,en,0,23207,"['music', 'app', 'spotify', 'songs', 'song', 'just', 'play', 'listen', 'premium', 'update', 'like', 'want', 'don', 'ads', 'playing', 'fix', 'use', 'playlist', 'phone', 'good', 'time', 'pay', 'new', 'won', 'doesn']"
31143,31370,2022-04-17 16:07:24,I rated it 1 because it only play 1 music in a time in playlist when ever i play game it plays on 1 song then it getting stoped pls fix this bug. This is cool app but it have bugs it make it down.,1,0,,0,196,en,0,26730,"['music', 'app', 'spotify', 'songs', 'song', 'just', 'play', 'listen', 'premium', 'update', 'like', 'want', 'don', 'ads', 'playing', 'fix', 'use', 'playlist', 'phone', 'good', 'time', 'pay', 'new', 'won', 'doesn']"
31098,31325,2022-04-17 17:48:37,Can you stop blowing my ear drums when the ads come on?,1,0,,0,55,en,0,1499,"['app', 'songs', 'just', 'song', 'account', 'playing', 'spotify', 'listen', 'play', 'premium', 've', 'music', 'don', 'playlist', 'phone', 'like', 'doesn', 'time', 'update', 'want', 'fix', 'stop', 'tried', 'use', 'paying']"
48165,48421,2022-02-21 04:42:01,Spotify app keeps crashing or pausing.,1,0,,0,38,en,0,3266,"['music', 'app', 'spotify', 'songs', 'song', 'just', 'play', 'listen', 'premium', 'update', 'like', 'want', 'don', 'ads', 'playing', 'fix', 'use', 'playlist', 'phone', 'good', 'time', 'pay', 'new', 'won', 'doesn']"
