level_0,index,Time_submitted,content,score,Total_thumbsup,Reply,sentiment,lengthContent,Language,scoreSA,reviewId,topics
34086,34321,2022-04-13 16:40:13,"Something really frustrating that happens almost every time, when I'm listening to Spotify on my PC my mobile phone automatically becomes a remote control, without me evem having Spotify open on it in the first place. The worst thing is when I want to raise the volume on my phone and instead of raising my phone volume I raise the Spotify volume ON THE PC. Please find a solution for this because this has really become infuriating.",4,27,,2,433,en,3,4004,"['app', 'music', 'songs', 'spotify', 'good', 'song', 'like', 'ads', 'love', 'great', 'just', 'premium', 'playlist', 'play', 'listen', 'don', 'really', 'use', 'add', 'want', 'problem', 'playing', 'listening', 'good app', 'fix']"
58110,58382,2022-01-13 13:27:20,"Spotify is awesome app for listening music but 1 give 1 star for a reason. Spotify should make account deleting more user friendly ,it is very difficult to delete multiple accounts.",4,0,,2,181,en,3,32559,"['app', 'music', 'songs', 'spotify', 'good', 'song', 'like', 'ads', 'love', 'great', 'just', 'premium', 'playlist', 'play', 'listen', 'don', 'really', 'use', 'add', 'want', 'problem', 'playing', 'listening', 'good app', 'fix']"
22705,22871,2022-05-07 10:19:15,There r too many ads while listening online otherwise it the most awesome app I hv ever seen ☺,4,2,,2,94,en,3,16594,"['app', 'music', 'songs', 'spotify', 'good', 'song', 'like', 'ads', 'love', 'great', 'just', 'premium', 'playlist', 'play', 'listen', 'don', 'really', 'use', 'add', 'want', 'problem', 'playing', 'listening', 'good app', 'fix']"
57143,57415,2022-01-20 19:45:29,"The app if very good and responsive, with crystal-clear audio. BUT there is one problem (only on phone), the 'We added' section make it so in a playlist its hard to actually find the songs in the playlist and you can't infinitely skip with no Spotify Premium. So when I play a playlist, I end up not being able to listen to the songs and it is really frustrating. Please Spotify devs and creators, PLEASE FIX THIS! This one problem has made me switch to Soundcloud, where there is NO problems. :(",4,0,,2,496,en,3,18991,"['app', 'music', 'songs', 'good', 'spotify', 'song', 'great', 'like', 'ads', 'just', 'love', 'play', 'premium', 'listen', 'really', 'playlist', 'don', 'want', 'use', 'time', 'annoying', 'great app', 'problem', 'playlists', 'stars']"
13621,13734,2022-06-04 11:24:04,It is a very nice music app but there are lots of adds,4,0,,2,54,en,3,9296,"['app', 'music', 'songs', 'spotify', 'good', 'song', 'like', 'ads', 'love', 'great', 'just', 'premium', 'playlist', 'play', 'listen', 'don', 'really', 'use', 'add', 'want', 'problem', 'playing', 'listening', 'good app', 'fix']"
27076,27277,2022-04-25 08:16:17,Best app ever i love it but it it is really bad without Premium,4,0,,2,63,en,3,32307,"['app', 'music', 'songs', 'good', 'spotify', 'song', 'great', 'like', 'ads', 'just', 'love', 'play', 'premium', 'listen', 'really', 'playlist', 'don', 'want', 'use', 'time', 'annoying', 'great app', 'problem', 'playlists', 'stars']"
41532,41779,2022-03-18 10:18:54,It's a good app to stream music. A few bugs here and there but still does the job.,4,1,,2,82,en,3,29260,"['app', 'music', 'songs', 'spotify', 'good', 'song', 'like', 'ads', 'love', 'great', 'just', 'premium', 'playlist', 'play', 'listen', 'don', 'really', 'use', 'add', 'want', 'problem', 'playing', 'listening', 'good app', 'fix']"
37070,37307,2022-04-07 09:55:39,Love this app but quality of each song can still be improved to HD. Some are not up to CD Quality,4,0,,2,97,en,3,31525,"['app', 'music', 'songs', 'spotify', 'good', 'song', 'like', 'ads', 'love', 'great', 'just', 'premium', 'playlist', 'play', 'listen', 'don', 'really', 'use', 'add', 'want', 'problem', 'playing', 'listening', 'good app', 'fix']"
38724,38966,2022-03-30 09:35:05,App Should have information about either person is listening song or not. Whoever is added in the playlist,4,0,,2,106,en,3,19898,"['app', 'music', 'songs', 'spotify', 'good', 'song', 'like', 'ads', 'love', 'great', 'just', 'premium', 'playlist', 'play', 'listen', 'don', 'really', 'use', 'add', 'want', 'problem', 'playing', 'listening', 'good app', 'fix']"
54447,54713,2022-01-30 00:43:56,It's great but I hope it's upadatde to stop adding songs u don't like to your playlists and I hope u can play specific songs,4,0,,2,124,en,3,26125,"['app', 'music', 'songs', 'good', 'spotify', 'song', 'great', 'like', 'ads', 'just', 'love', 'play', 'premium', 'listen', 'really', 'playlist', 'don', 'want', 'use', 'time', 'annoying', 'great app', 'problem', 'playlists', 'stars']"
18098,18233,2022-05-21 17:27:07,"It's a good app, but I do have a couple of problems with it. It works great and all, it's just that when you click on a playlist, you can't see every song that's in the playlist. I feel like that's the entire point. And you can't play songs in order. It's only shuffle play, nothing else. And if you search up a song, it shows the playlist for it instead of the song. For instance, if you searched ""Lost Boy"", it would give you ""Lost Boy playlist"" instead. It's good for basic use, though.",4,3,,2,489,en,3,26609,"['app', 'music', 'songs', 'spotify', 'good', 'song', 'like', 'ads', 'love', 'great', 'just', 'premium', 'playlist', 'play', 'listen', 'don', 'really', 'use', 'add', 'want', 'problem', 'playing', 'listening', 'good app', 'fix']"
25906,26096,2022-04-28 02:09:51,My freind have one account. He will choosed a premium 2 persons. But i will not grt the same address... How to know that what addres he have write it there ?,4,0,,2,157,en,3,4395,"['app', 'music', 'songs', 'spotify', 'good', 'song', 'like', 'ads', 'love', 'great', 'just', 'premium', 'playlist', 'play', 'listen', 'don', 'really', 'use', 'add', 'want', 'problem', 'playing', 'listening', 'good app', 'fix']"
53835,54101,2022-01-31 19:59:11,I like the old classic songs Is very easy to get it,4,0,,2,51,en,3,14149,"['app', 'music', 'songs', 'spotify', 'good', 'song', 'like', 'ads', 'love', 'great', 'just', 'premium', 'playlist', 'play', 'listen', 'don', 'really', 'use', 'add', 'want', 'problem', 'playing', 'listening', 'good app', 'fix']"
50175,50435,2022-02-13 07:14:08,Smooth play but sometimes naija network with a 3G could be a problem,4,0,,2,68,en,3,15151,"['app', 'music', 'songs', 'good', 'spotify', 'song', 'great', 'like', 'ads', 'just', 'love', 'play', 'premium', 'listen', 'really', 'playlist', 'don', 'want', 'use', 'time', 'annoying', 'great app', 'problem', 'playlists', 'stars']"
25175,25357,2022-04-30 05:53:21,"I have to say, very convenient app for music in one place but YouTube music is better at finding the vibe of a song.",4,1,,2,116,en,3,23887,"['app', 'music', 'songs', 'good', 'spotify', 'song', 'great', 'like', 'ads', 'just', 'love', 'play', 'premium', 'listen', 'really', 'playlist', 'don', 'want', 'use', 'time', 'annoying', 'great app', 'problem', 'playlists', 'stars']"
58627,58899,2022-01-07 19:41:32,"It pauses itself in between songs until I turn my screen on or press the button, been happening for over a week now and never happened before. BUG.",4,0,,2,147,en,3,13253,"['app', 'music', 'songs', 'spotify', 'good', 'song', 'like', 'ads', 'love', 'great', 'just', 'premium', 'playlist', 'play', 'listen', 'don', 'really', 'use', 'add', 'want', 'problem', 'playing', 'listening', 'good app', 'fix']"
53713,53979,2022-02-01 04:56:07,"Stop with the damn ads, you say listen to an ad to get 30 minutes of free ads and then you show like 5 or more ads and not even after 2 or 3 songs later you get another repetitive ad. I mean seriously I'm trying to relax but I cant with these wack ads with there dumb humors and not to mention some with them singing something, like seriously just shut up.",4,5,,2,356,en,3,11015,"['app', 'music', 'songs', 'spotify', 'good', 'song', 'like', 'ads', 'love', 'great', 'just', 'premium', 'playlist', 'play', 'listen', 'don', 'really', 'use', 'add', 'want', 'problem', 'playing', 'listening', 'good app', 'fix']"
49829,50089,2022-02-14 19:13:15,"Spotify is awesome, new update pauses my podcasts randomly throughout them though which isnt great",4,0,,2,98,en,3,32821,"['app', 'music', 'songs', 'spotify', 'good', 'song', 'like', 'ads', 'love', 'great', 'just', 'premium', 'playlist', 'play', 'listen', 'don', 'really', 'use', 'add', 'want', 'problem', 'playing', 'listening', 'good app', 'fix']"
58965,59237,2022-01-01 18:23:09,The best music listening program ever made. The only thing I did not like the program missing referral program. It is better making referral program available for customers and offering them some privileges for each attracted person.,4,0,,2,233,en,3,15352,"['app', 'music', 'songs', 'spotify', 'good', 'song', 'like', 'ads', 'love', 'great', 'just', 'premium', 'playlist', 'play', 'listen', 'don', 'really', 'use', 'add', 'want', 'problem', 'playing', 'listening', 'good app', 'fix']"
18282,18417,2022-05-21 02:26:36,Pretty much great. Some bugs could we addressed and even larger song selection.,4,0,,2,79,en,3,7002,"['app', 'music', 'songs', 'good', 'spotify', 'song', 'great', 'like', 'ads', 'just', 'love', 'play', 'premium', 'listen', 'really', 'playlist', 'don', 'want', 'use', 'time', 'annoying', 'great app', 'problem', 'playlists', 'stars']"
