level_0,index,Time_submitted,content,score,Total_thumbsup,Reply,sentiment,lengthContent,Language,scoreSA,reviewId,topics
20230,20377,2022-05-15 02:48:31,"Why is the lyrics is not shown when i play the song, i tried to uninstall and install, clear my cache and data but still there is no lyrics.It's just on my phone, my desktop is working well. Then i tried to make a new account and there is lyrics. But i still love my current account :"") Can't this be fix?",3,0,,1,305,en,2,6389,"['app', 'songs', 'music', 'song', 'spotify', 'like', 'play', 'just', 'ads', 'playlist', 'listen', 'premium', 'playing', 'good', 'don', 'fix', 'update', 'want', 'love', 'really', 'annoying', 'great', 'phone', 'time', 'stop']"
15556,15685,2022-05-29 16:04:53,Really love the large collection of songs. Too much ads. Please include clear whole history option,3,0,,1,98,en,2,33294,"['app', 'songs', 'music', 'song', 'spotify', 'like', 'play', 'just', 'ads', 'playlist', 'listen', 'premium', 'playing', 'good', 'don', 'fix', 'update', 'want', 'love', 'really', 'annoying', 'great', 'phone', 'time', 'stop']"
28360,28575,2022-04-22 05:34:56,It was great .. but the new version isn't showing what song is playing at the bottom. So I can't change it or anything. Tried logging out and on again.. idk,3,0,,1,156,en,2,11427,"['app', 'songs', 'music', 'song', 'spotify', 'like', 'play', 'just', 'ads', 'playlist', 'listen', 'premium', 'playing', 'good', 'don', 'fix', 'update', 'want', 'love', 'really', 'annoying', 'great', 'phone', 'time', 'stop']"
53755,54021,2022-02-01 02:19:00,It's super laggy bc when I tried opening my 2nd playlist it doesn't work and also when I'm trying to adding new song to my playlist it doesn't add the song🙂,3,0,,1,156,en,2,11270,"['app', 'songs', 'song', 'music', 'play', 'spotify', 'just', 'like', 'playlist', 'good', 'ads', 'playing', 'premium', 'listen', 'don', 'fix', 'really', 'want', 'great', 'update', 'use', 'time', 'annoying', 'doesn', 'phone']"
56065,56335,2022-01-25 03:18:10,I love using Spotify but it goes thru tumes where the pause button disappears and in order to get whatever I'm listening to to stop I have to Force Stop it.,3,0,,1,156,en,2,29813,"['app', 'songs', 'song', 'music', 'play', 'spotify', 'just', 'like', 'playlist', 'good', 'ads', 'playing', 'premium', 'listen', 'don', 'fix', 'really', 'want', 'great', 'update', 'use', 'time', 'annoying', 'doesn', 'phone']"
608,612,2022-07-08 03:06:42,Great way to find and listen to all types of music and get introduced to new artists. But the fact that I can't listen to the song I want to without buying the premium service is extremely annoying. If you want to ask that serves as customizable radio for yourself this is the one for you.,3,0,,1,289,en,2,5959,"['app', 'songs', 'music', 'song', 'spotify', 'like', 'play', 'just', 'ads', 'playlist', 'listen', 'premium', 'playing', 'good', 'don', 'fix', 'update', 'want', 'love', 'really', 'annoying', 'great', 'phone', 'time', 'stop']"
14963,15088,2022-05-31 06:36:30,"I'm having a trouble listening to music lately Spotify is shutting down on its own whenever I press play button,i tried everything from uninstalling the app to trying various methods to get rid of this bug . My app is also updated .I even tried few times logging out of my account and logging back in (I even tried to make a new account) but i just can't listen to music anymore pls let me know if there's any other way of getting rid of this problem. Thank you 😊.",3,671,,1,464,en,2,25806,"['app', 'songs', 'song', 'music', 'play', 'spotify', 'just', 'like', 'playlist', 'good', 'ads', 'playing', 'premium', 'listen', 'don', 'fix', 'really', 'want', 'great', 'update', 'use', 'time', 'annoying', 'doesn', 'phone']"
52502,52765,2022-02-05 06:19:48,Sometimes it turns off the music and I have to turn it back on stop turning off the music bro!,3,0,,1,94,en,2,1124,"['app', 'songs', 'music', 'song', 'spotify', 'like', 'play', 'just', 'ads', 'playlist', 'listen', 'premium', 'playing', 'good', 'don', 'fix', 'update', 'want', 'love', 'really', 'annoying', 'great', 'phone', 'time', 'stop']"
58535,58807,2022-01-09 08:45:37,Great app does what it is meant to. Took a star off because they need to make a way to pick up where you left off on multiple podcasts as I often start one then forget what podcast I was listening to then start another.,3,0,,1,219,en,2,29533,"['app', 'songs', 'song', 'music', 'play', 'spotify', 'just', 'like', 'playlist', 'good', 'ads', 'playing', 'premium', 'listen', 'don', 'fix', 'really', 'want', 'great', 'update', 'use', 'time', 'annoying', 'doesn', 'phone']"
39003,39246,2022-03-28 20:59:12,I really like this app it's my #1 music source but ... I dont like the fact that i can't put my music on replay sam song or skip or choose one song only to play... It just shuffles and sometimes i just want to hear on especific song in a playlist 😢 really want that to change,3,0,,1,275,en,2,9897,"['app', 'songs', 'music', 'song', 'spotify', 'like', 'play', 'just', 'ads', 'playlist', 'listen', 'premium', 'playing', 'good', 'don', 'fix', 'update', 'want', 'love', 'really', 'annoying', 'great', 'phone', 'time', 'stop']"
38776,39019,2022-03-30 01:32:26,I have a love hate relationship with this app because it is a good app for when you want to listen to music when you are in other apps at the same time. But the the app is a little laggy when you get out of the app and the music is still playing sometimes the music that is playing will stutter when you leave the app.,3,0,,1,318,en,2,19599,"['app', 'songs', 'song', 'music', 'play', 'spotify', 'just', 'like', 'playlist', 'good', 'ads', 'playing', 'premium', 'listen', 'don', 'fix', 'really', 'want', 'great', 'update', 'use', 'time', 'annoying', 'doesn', 'phone']"
36821,37058,2022-04-08 15:08:33,Why the music transpose change while I hear one music with earphone????? It always transpose up/down every seconds but only that one song and one moment.,3,0,,1,153,en,2,33258,"['app', 'songs', 'song', 'music', 'play', 'spotify', 'just', 'like', 'playlist', 'good', 'ads', 'playing', 'premium', 'listen', 'don', 'fix', 'really', 'want', 'great', 'update', 'use', 'time', 'annoying', 'doesn', 'phone']"
27863,28071,2022-04-23 09:27:48,Massive connectivity issue with Bluetooth on Google pixel 3a and I think other pixel devices. Streaming drops in and out indiscriminately and will only play continuously with the screen unlocked. Also swipe to queue not an option directly with search results...,3,0,,1,261,en,2,33529,"['app', 'songs', 'music', 'song', 'spotify', 'like', 'play', 'just', 'ads', 'playlist', 'listen', 'premium', 'playing', 'good', 'don', 'fix', 'update', 'want', 'love', 'really', 'annoying', 'great', 'phone', 'time', 'stop']"
12224,12328,2022-06-08 18:32:10,I have a problem when I want to put a song I play it and it puts a different song it's annoying could you fix that,3,0,,1,114,en,2,31491,"['app', 'songs', 'music', 'song', 'spotify', 'like', 'play', 'just', 'ads', 'playlist', 'listen', 'premium', 'playing', 'good', 'don', 'fix', 'update', 'want', 'love', 'really', 'annoying', 'great', 'phone', 'time', 'stop']"
19245,19387,2022-05-18 02:29:15,"I recently decided to opt for premium, but when i entered the payment page there's no option for payment via Google Pay, only Paytm, which i don't use. Kindly add Google Pay as payment option in the next update.",3,0,,1,211,en,2,19803,"['app', 'songs', 'music', 'song', 'spotify', 'like', 'play', 'just', 'ads', 'playlist', 'listen', 'premium', 'playing', 'good', 'don', 'fix', 'update', 'want', 'love', 'really', 'annoying', 'great', 'phone', 'time', 'stop']"
51844,52106,2022-02-07 06:45:19,Need more skips. I might just uninstall it. 6 is not enough.,3,0,,1,60,en,2,25092,"['app', 'songs', 'song', 'music', 'play', 'spotify', 'just', 'like', 'playlist', 'good', 'ads', 'playing', 'premium', 'listen', 'don', 'fix', 'really', 'want', 'great', 'update', 'use', 'time', 'annoying', 'doesn', 'phone']"
33120,33353,2022-04-14 15:38:06,"Ever since upgrading to a newer phone, spotify is the only app that consistently is garbage compared to the rest. If not for joe rogan,,I'd never use this app again. Lol Not to mention that spotify pays their artists effectively nothing and always has numerous issues but seems to only make more money for their worthless shareholders and continue providing poor services for exorbitant prices",3,0,,1,393,en,2,14391,"['app', 'songs', 'music', 'song', 'spotify', 'like', 'play', 'just', 'ads', 'playlist', 'listen', 'premium', 'playing', 'good', 'don', 'fix', 'update', 'want', 'love', 'really', 'annoying', 'great', 'phone', 'time', 'stop']"
10206,10292,2022-06-14 08:03:01,Would more options of continues play instead of just one episode,3,0,,1,64,en,2,28815,"['app', 'songs', 'song', 'music', 'play', 'spotify', 'just', 'like', 'playlist', 'good', 'ads', 'playing', 'premium', 'listen', 'don', 'fix', 'really', 'want', 'great', 'update', 'use', 'time', 'annoying', 'doesn', 'phone']"
48391,48647,2022-02-20 05:17:23,"I don't know why but the 30 mins ad system was good ,i.e., first an advertisement will be shown then 30 mins no advertisement. But now i get 2 advertisements after every song. Still the content of the app is best.",3,0,,1,213,en,2,2886,"['app', 'songs', 'music', 'song', 'spotify', 'like', 'play', 'just', 'ads', 'playlist', 'listen', 'premium', 'playing', 'good', 'don', 'fix', 'update', 'want', 'love', 'really', 'annoying', 'great', 'phone', 'time', 'stop']"
56934,57206,2022-01-21 17:08:04,I'm still able to play music but I have to use Bixby in order to get it to play anything. The app won't let me tap on anything or even change songs really,3,0,,1,154,en,2,16060,"['app', 'songs', 'song', 'music', 'play', 'spotify', 'just', 'like', 'playlist', 'good', 'ads', 'playing', 'premium', 'listen', 'don', 'fix', 'really', 'want', 'great', 'update', 'use', 'time', 'annoying', 'doesn', 'phone']"
28235,28449,2022-04-22 12:56:26,It's getting buggier every week. Honestly I don't know why the developers won't fix those bugs. I've been using this app since 2015 and it was probably more stable then. I usually can't listen to 10 songs while adding new ones to queue without something going totally wrong.,3,1,,1,274,en,2,3971,"['app', 'songs', 'song', 'music', 'play', 'spotify', 'just', 'like', 'playlist', 'good', 'ads', 'playing', 'premium', 'listen', 'don', 'fix', 'really', 'want', 'great', 'update', 'use', 'time', 'annoying', 'doesn', 'phone']"
21760,21919,2022-05-10 07:34:21,Equalizer is just bad in this app. I always try to listen the songs i liked on yt cause it gives me the bass I want. I can't adjust it on the Spotify app settings the way I want. And It doesn't allow to work the equalizer settings that I adjusted on the phone's sound settings. I want deep bass sound and spotify's equalizer is just bad to adjust that.,3,0,,1,352,en,2,16481,"['app', 'songs', 'song', 'music', 'play', 'spotify', 'just', 'like', 'playlist', 'good', 'ads', 'playing', 'premium', 'listen', 'don', 'fix', 'really', 'want', 'great', 'update', 'use', 'time', 'annoying', 'doesn', 'phone']"
48919,49175,2022-02-18 07:25:34,"Good app, only thing is I only want the 10USD plan and it wants me to pay 20 now for 2 accounts with no option to change back to the original",3,0,,1,141,en,2,31536,"['app', 'songs', 'song', 'music', 'play', 'spotify', 'just', 'like', 'playlist', 'good', 'ads', 'playing', 'premium', 'listen', 'don', 'fix', 'really', 'want', 'great', 'update', 'use', 'time', 'annoying', 'doesn', 'phone']"
